id,female,age,education,political,treatment_str,risky,green,duration_survey,winner,loser,bonus_startup,bonus_ingame,bonus_lottery,bonus_final,repeater
40,0,57,6,1,Forced choice very strong,1,NA,656,0,1,0.5,0.5,0,0.5,0
41,1,41,5,-1,Base (w),NA,NA,683,0,1,0.5,0.5,0,0.5,0
42,0,36,5,-2,Nominal choice (w),NA,1,645,0,1,0.5,0.5,0,0.5,0
43,1,39,5,1,Forced choice (nw),0,NA,81,0,0,0.5,0.75,NA,0.75,0
44,1,42,3,2,Forced choice strong,1,NA,908,0,1,0.5,0.5,0,0.5,0
45,1,27,3,1,Forced choice (w),0,NA,577,0,0,0.5,0.75,NA,0.75,0
46,0,32,5,-1,Base (w),NA,NA,604,0,1,0.5,0.5,0,0.5,0
47,1,40,4,0,Forced choice (w),1,NA,572,1,0,0.5,0.5,8,8.5,0
48,0,31,2,0,Forced choice strong,1,NA,732,1,0,0.5,0.5,8,8.5,0
49,1,36,4,0,Base (w),NA,NA,690,1,0,0.5,0.5,8,8.5,0
50,1,27,5,-1,Base (w),NA,NA,615,1,0,0.5,0.5,8,8.5,0
51,1,58,5,-1,Forced choice very strong,1,NA,768,1,0,0.5,0.5,8,8.5,0
52,1,35,5,-1,Nominal choice (nw),NA,1,99,1,0,0.5,0.5,8,8.5,0
53,0,37,4,0,Forced choice (w),1,NA,557,1,0,0.5,0.5,8,8.5,0
54,0,25,5,-2,Forced choice strong,1,NA,588,1,0,0.5,0.5,8,8.5,0
55,0,27,5,-1,Forced choice very strong,0,NA,538,0,0,0.5,0.25,NA,0.25,0
56,0,23,3,0,Forced choice very strong,1,NA,737,1,0,0.5,0.5,8,8.5,0
57,0,38,5,0,Nominal choice (nw),NA,1,81,1,0,0.5,0.5,8,8.5,0
58,0,60,3,0,Forced choice (nw),1,NA,168,1,0,0.5,0.5,8,8.5,0
59,0,33,6,1,Nominal choice (w),NA,1,627,0,1,0.5,0.5,0,0.5,0
60,0,30,4,0,Base (nw),NA,NA,1409,0,1,0.5,0.5,0,0.5,0
61,1,39,3,2,Forced choice (nw),0,NA,1010,0,0,0.5,0.75,NA,0.75,0
62,1,36,3,-1,Forced choice very strong,1,NA,640,1,0,0.5,0.5,8,8.5,0
63,1,24,4,0,Nominal choice (w),NA,0,592,0,1,0.5,0.5,0,0.5,0
64,0,32,3,-2,Forced choice (w),1,NA,913,1,0,0.5,0.5,8,8.5,0
65,1,31,5,0,Base (nw),NA,NA,83,0,1,0.5,0.5,0,0.5,0
66,0,28,3,0,Nominal choice (nw),NA,1,458,1,0,0.5,0.5,8,8.5,0
67,0,40,3,0,Forced choice (nw),1,NA,118,0,1,0.5,0.5,0,0.5,0
68,0,36,5,1,Base (w),NA,NA,740,0,1,0.5,0.5,0,0.5,0
69,1,34,2,1,Nominal choice (w),NA,1,733,0,1,0.5,0.5,0,0.5,0
70,1,33,5,-2,Forced choice very strong,1,NA,675,1,0,0.5,0.5,8,8.5,0
71,0,27,2,-1,Base (w),NA,NA,1397,0,1,0.5,0.5,0,0.5,0
72,1,45,2,0,Nominal choice (nw),NA,1,148,1,0,0.5,0.5,8,8.5,0
73,0,27,5,1,Nominal choice (w),NA,1,565,1,0,0.5,0.5,8,8.5,0
74,0,35,3,-1,Forced choice (w),1,NA,583,0,1,0.5,0.5,0,0.5,0
75,1,32,5,0,Base (w),NA,NA,612,1,0,0.5,0.5,8,8.5,0
76,1,37,2,-2,Forced choice very strong,1,NA,588,1,0,0.5,0.5,8,8.5,0
77,0,33,5,-1,Base (w),NA,NA,972,0,1,0.5,0.5,0,0.5,0
78,0,30,5,1,Nominal choice (nw),NA,0,98,1,0,0.5,0.5,8,8.5,1
79,0,22,3,-2,Forced choice (nw),1,NA,142,0,1,0.5,0.5,0,0.5,1
80,0,33,6,-1,Forced choice (nw),1,NA,113,0,1,0.5,0.5,0,0.5,0
81,0,33,5,-1,Forced choice (w),1,NA,757,1,0,0.5,0.5,8,8.5,0
82,1,35,5,1,Forced choice (nw),1,NA,104,1,0,0.5,0.5,8,8.5,0
83,0,37,2,-1,Forced choice strong,1,NA,586,0,1,0.5,0.5,0,0.5,0
84,0,34,3,-2,Base (nw),NA,NA,183,1,0,0.5,0.5,8,8.5,0
85,1,34,4,0,Forced choice very strong,1,NA,862,0,1,0.5,0.5,0,0.5,0
86,0,33,5,1,Forced choice (w),1,NA,589,0,1,0.5,0.5,0,0.5,1
87,1,21,4,-1,Forced choice strong,1,NA,626,0,1,0.5,0.5,0,0.5,0
88,1,32,5,-2,Forced choice strong,1,NA,692,0,1,0.5,0.5,0,0.5,0
89,0,61,3,-1,Forced choice strong,1,NA,1278,0,1,0.5,0.5,0,0.5,0
90,0,68,2,0,Forced choice (w),1,NA,1006,1,0,0.5,0.5,8,8.5,0
91,0,28,5,-1,Forced choice (w),1,NA,648,1,0,0.5,0.5,8,8.5,0
92,0,29,4,1,Nominal choice (w),NA,0,552,0,1,0.5,0.5,0,0.5,0
93,0,36,5,-2,Forced choice strong,1,NA,653,0,1,0.5,0.5,0,0.5,0
94,1,21,4,-1,Base (w),NA,NA,595,1,0,0.5,0.5,8,8.5,0
95,0,23,5,1,Base (nw),NA,NA,83,1,0,0.5,0.5,8,8.5,0
96,0,57,3,1,Forced choice (nw),1,NA,201,1,0,0.5,0.5,8,8.5,0
97,0,33,3,1,Forced choice very strong,1,NA,829,1,0,0.5,0.5,8,8.5,0
98,0,23,5,0,Forced choice (nw),1,NA,88,1,0,0.5,0.5,8,8.5,0
99,0,33,5,0,Nominal choice (nw),NA,1,639,1,0,0.5,0.5,8,8.5,0
100,1,42,5,-1,Forced choice (nw),1,NA,101,1,0,0.5,0.5,8,8.5,0
101,0,28,2,1,Forced choice very strong,1,NA,603,1,0,0.5,0.5,8,8.5,0
102,0,29,5,-1,Forced choice very strong,1,NA,525,1,0,0.5,0.5,8,8.5,0
103,0,27,6,-1,Forced choice very strong,1,NA,580,0,1,0.5,0.5,0,0.5,0
104,1,27,5,0,Nominal choice (w),NA,0,539,1,0,0.5,0.5,8,8.5,0
105,1,36,5,0,Nominal choice (nw),NA,0,179,1,0,0.5,0.5,8,8.5,0
106,1,40,2,-2,Forced choice (w),1,NA,640,1,0,0.5,0.5,8,8.5,0
107,1,68,3,-1,Base (nw),NA,NA,114,0,1,0.5,0.5,0,0.5,0
108,1,25,5,-1,Forced choice very strong,1,NA,583,0,1,0.5,0.5,0,0.5,0
109,0,28,2,-1,Forced choice strong,1,NA,615,0,1,0.5,0.5,0,0.5,0
110,1,32,4,-1,Forced choice strong,1,NA,568,1,0,0.5,0.5,8,8.5,0
111,1,41,4,1,Forced choice very strong,0,NA,713,0,0,0.5,0.25,NA,0.25,0
112,1,24,3,0,Base (nw),NA,NA,40,1,0,0.5,0.5,8,8.5,1
113,0,29,5,-1,Base (nw),NA,NA,54,1,0,0.5,0.5,8,8.5,0
114,1,36,3,0,Base (nw),NA,NA,73,1,0,0.5,0.5,8,8.5,0
115,0,31,5,-2,Nominal choice (w),NA,0,558,1,0,0.5,0.5,8,8.5,0
116,1,51,4,0,Forced choice strong,1,NA,855,0,1,0.5,0.5,0,0.5,0
117,1,33,4,0,Base (nw),NA,NA,157,1,0,0.5,0.5,8,8.5,0
118,1,36,3,-1,Forced choice strong,1,NA,683,1,0,0.5,0.5,8,8.5,0
119,1,43,4,-1,Forced choice (w),1,NA,1594,1,0,0.5,0.5,8,8.5,0
120,1,31,4,-2,Forced choice (w),1,NA,613,1,0,0.5,0.5,8,8.5,0
121,1,50,5,1,Forced choice (nw),1,NA,73,0,1,0.5,0.5,0,0.5,0
122,0,34,5,-1,Forced choice (w),1,NA,750,0,1,0.5,0.5,0,0.5,0
123,1,22,3,-1,Base (nw),NA,NA,124,1,0,0.5,0.5,8,8.5,1
124,0,24,5,-2,Forced choice (nw),1,NA,206,1,0,0.5,0.5,8,8.5,0
125,1,31,5,-1,Nominal choice (nw),NA,0,74,1,0,0.5,0.5,8,8.5,0
126,0,30,2,0,Nominal choice (w),NA,1,592,1,0,0.5,0.5,8,8.5,0
127,1,56,2,0,Forced choice (nw),1,NA,135,0,1,0.5,0.5,0,0.5,0
128,0,24,5,-1,Nominal choice (nw),NA,0,35,0,1,0.5,0.5,0,0.5,1
129,1,22,5,-2,Base (w),NA,NA,1192,0,1,0.5,0.5,0,0.5,0
130,1,27,5,-2,Forced choice (w),1,NA,700,1,0,0.5,0.5,8,8.5,0
131,1,44,5,-1,Base (nw),NA,NA,48,1,0,0.5,0.5,8,8.5,0
132,0,23,3,-1,Nominal choice (nw),NA,1,165,1,0,0.5,0.5,8,8.5,1
133,1,66,3,0,Forced choice strong,1,NA,621,1,0,0.5,0.5,8,8.5,0
134,1,25,6,-1,Forced choice (w),0,NA,777,0,0,0.5,0.75,NA,0.75,0
135,1,24,5,-1,Nominal choice (w),NA,1,658,0,1,0.5,0.5,0,0.5,0
136,1,48,2,-2,Forced choice very strong,0,NA,600,0,0,0.5,0.25,NA,0.25,0
137,0,31,8,1,Base (nw),NA,NA,74,1,0,0.5,0.5,8,8.5,0
138,0,27,3,-1,Nominal choice (nw),NA,1,118,1,0,0.5,0.5,8,8.5,0
139,0,19,3,-1,Base (w),NA,NA,537,1,0,0.5,0.5,8,8.5,0
140,1,33,2,0,Forced choice very strong,1,NA,738,0,1,0.5,0.5,0,0.5,0
141,0,28,2,-1,Base (nw),NA,NA,112,1,0,0.5,0.5,8,8.5,0
142,1,24,5,0,Forced choice (w),0,NA,536,0,0,0.5,0.75,NA,0.75,0
143,1,39,6,-2,Base (w),NA,NA,643,0,1,0.5,0.5,0,0.5,0
144,1,41,3,0,Base (nw),NA,NA,48,0,1,0.5,0.5,0,0.5,0
145,0,31,3,-1,Forced choice (nw),1,NA,528,1,0,0.5,0.5,8,8.5,1
146,0,58,2,1,Forced choice (w),1,NA,642,0,1,0.5,0.5,0,0.5,0
147,0,32,3,0,Nominal choice (nw),NA,1,203,0,1,0.5,0.5,0,0.5,0
148,1,61,5,-2,Forced choice strong,1,NA,645,0,1,0.5,0.5,0,0.5,0
149,0,26,3,2,Forced choice (nw),1,NA,127,1,0,0.5,0.5,8,8.5,0
150,1,31,2,-1,Nominal choice (w),NA,0,1304,0,1,0.5,0.5,0,0.5,0
151,1,30,3,1,Base (w),NA,NA,1124,0,1,0.5,0.5,0,0.5,0
152,0,28,5,-1,Forced choice (nw),1,NA,266,1,0,0.5,0.5,8,8.5,1
153,0,27,4,-1,Forced choice (nw),1,NA,643,1,0,0.5,0.5,8,8.5,0
154,1,38,4,-1,Forced choice (w),0,NA,645,0,0,0.5,0.75,NA,0.75,0
155,1,22,2,-2,Forced choice (nw),1,NA,128,1,0,0.5,0.5,8,8.5,0
156,0,40,5,-1,Base (nw),NA,NA,94,0,1,0.5,0.5,0,0.5,0
157,1,58,5,1,Forced choice (nw),1,NA,721,1,0,0.5,0.5,8,8.5,0
158,1,27,4,-2,Base (nw),NA,NA,200,0,1,0.5,0.5,0,0.5,0
159,0,29,5,-1,Forced choice very strong,1,NA,715,0,1,0.5,0.5,0,0.5,0
160,0,22,3,1,Nominal choice (nw),NA,1,262,0,1,0.5,0.5,0,0.5,0
161,0,39,2,-1,Forced choice (nw),1,NA,135,1,0,0.5,0.5,8,8.5,0
162,1,33,5,-1,Base (w),NA,NA,572,0,1,0.5,0.5,0,0.5,0
163,1,27,6,-1,Base (nw),NA,NA,86,0,1,0.5,0.5,0,0.5,1
164,1,33,5,1,Nominal choice (w),NA,1,681,1,0,0.5,0.5,8,8.5,0
165,0,26,5,-2,Nominal choice (w),NA,1,1380,0,1,0.5,0.5,0,0.5,0
166,1,25,5,1,Nominal choice (nw),NA,1,66,0,1,0.5,0.5,0,0.5,0
167,1,53,2,1,Forced choice (nw),1,NA,126,1,0,0.5,0.5,8,8.5,0
168,0,31,3,2,Nominal choice (w),NA,1,702,0,1,0.5,0.5,0,0.5,0
169,0,35,5,0,Forced choice very strong,1,NA,738,0,1,0.5,0.5,0,0.5,0
170,1,24,6,0,Base (nw),NA,NA,49,0,1,0.5,0.5,0,0.5,0
171,1,38,2,0,Forced choice strong,1,NA,675,0,1,0.5,0.5,0,0.5,0
172,1,27,2,-2,Forced choice very strong,1,NA,544,1,0,0.5,0.5,8,8.5,0
173,0,48,5,0,Forced choice strong,1,NA,578,0,1,0.5,0.5,0,0.5,0
174,1,23,6,-1,Base (nw),NA,NA,86,0,1,0.5,0.5,0,0.5,0
175,0,63,4,-2,Forced choice strong,1,NA,617,0,1,0.5,0.5,0,0.5,0
176,0,28,5,-2,Nominal choice (nw),NA,0,96,0,1,0.5,0.5,0,0.5,0
177,1,36,5,-2,Forced choice strong,1,NA,627,0,1,0.5,0.5,0,0.5,0
178,1,71,6,-2,Base (w),NA,NA,572,1,0,0.5,0.5,8,8.5,0
179,1,27,1,1,Forced choice (w),0,NA,778,0,0,0.5,0.75,NA,0.75,0
180,0,32,5,0,Nominal choice (w),NA,1,1519,0,1,0.5,0.5,0,0.5,0
181,0,20,3,-2,Forced choice strong,1,NA,673,1,0,0.5,0.5,8,8.5,0
182,0,28,6,-1,Forced choice (w),1,NA,554,0,1,0.5,0.5,0,0.5,0
183,0,59,2,2,Base (w),NA,NA,727,1,0,0.5,0.5,8,8.5,0
184,0,25,6,1,Forced choice (nw),0,NA,48,0,0,0.5,0.75,NA,0.75,0
185,0,25,2,0,Forced choice very strong,0,NA,1111,0,0,0.5,0.25,NA,0.25,0
186,0,29,3,2,Forced choice very strong,1,NA,708,0,1,0.5,0.5,0,0.5,0
187,0,32,3,0,Base (nw),NA,NA,221,0,1,0.5,0.5,0,0.5,1
188,1,75,2,-1,Forced choice very strong,1,NA,700,0,1,0.5,0.5,0,0.5,0
189,1,34,5,0,Nominal choice (w),NA,1,1673,0,1,0.5,0.5,0,0.5,0
190,1,64,6,0,Forced choice (w),1,NA,787,0,1,0.5,0.5,0,0.5,0
191,1,67,6,1,Forced choice (nw),1,NA,117,1,0,0.5,0.5,8,8.5,0
192,0,26,5,-1,Nominal choice (w),NA,1,605,0,1,0.5,0.5,0,0.5,0
193,1,22,3,-1,Base (w),NA,NA,690,1,0,0.5,0.5,8,8.5,0
194,0,30,2,1,Base (nw),NA,NA,145,0,1,0.5,0.5,0,0.5,0
195,1,32,5,-2,Base (nw),NA,NA,116,1,0,0.5,0.5,8,8.5,0
196,1,56,4,-1,Forced choice (nw),1,NA,181,1,0,0.5,0.5,8,8.5,0
197,1,30,5,-1,Base (nw),NA,NA,131,0,1,0.5,0.5,0,0.5,0
198,0,43,4,1,Nominal choice (nw),NA,1,134,1,0,0.5,0.5,8,8.5,0
199,1,25,5,-1,Forced choice very strong,1,NA,539,1,0,0.5,0.5,8,8.5,0
200,0,30,5,-1,Nominal choice (w),NA,1,708,0,1,0.5,0.5,0,0.5,0
201,1,42,3,1,Forced choice (nw),1,NA,252,1,0,0.5,0.5,8,8.5,0
202,0,24,5,-1,Forced choice strong,1,NA,715,1,0,0.5,0.5,8,8.5,0
203,1,32,5,0,Forced choice (nw),1,NA,125,1,0,0.5,0.5,8,8.5,0
204,0,32,4,1,Base (nw),NA,NA,165,1,0,0.5,0.5,8,8.5,0
205,1,59,6,-1,Forced choice (nw),1,NA,192,1,0,0.5,0.5,8,8.5,0
206,1,26,4,0,Forced choice (w),1,NA,1136,1,0,0.5,0.5,8,8.5,0
207,0,34,6,-1,Forced choice (w),1,NA,603,1,0,0.5,0.5,8,8.5,0
208,0,70,6,2,Forced choice (w),1,NA,762,0,1,0.5,0.5,0,0.5,0
209,1,32,4,-2,Forced choice strong,1,NA,601,0,1,0.5,0.5,0,0.5,0
210,1,22,3,-2,Forced choice (nw),1,NA,82,1,0,0.5,0.5,8,8.5,0
211,1,27,3,1,Nominal choice (nw),NA,0,88,1,0,0.5,0.5,8,8.5,0
212,0,33,6,-1,Forced choice (nw),1,NA,104,1,0,0.5,0.5,8,8.5,0
213,1,31,3,-1,Base (nw),NA,NA,57,1,0,0.5,0.5,8,8.5,1
214,1,32,7,-2,Nominal choice (w),NA,1,686,0,1,0.5,0.5,0,0.5,0
215,1,31,5,-1,Forced choice (w),1,NA,581,1,0,0.5,0.5,8,8.5,0
216,1,41,5,-1,Base (w),NA,NA,688,1,0,0.5,0.5,8,8.5,0
217,0,38,4,-1,Base (nw),NA,NA,62,0,1,0.5,0.5,0,0.5,1
218,1,37,3,-1,Nominal choice (w),NA,1,687,1,0,0.5,0.5,8,8.5,0
219,1,39,5,-2,Base (nw),NA,NA,94,0,1,0.5,0.5,0,0.5,0
220,0,39,3,-1,Forced choice (nw),1,NA,157,0,1,0.5,0.5,0,0.5,0
221,1,30,3,-2,Forced choice (w),1,NA,567,1,0,0.5,0.5,8,8.5,0
222,1,45,5,0,Nominal choice (w),NA,1,574,0,1,0.5,0.5,0,0.5,0
223,0,29,5,-2,Forced choice (nw),1,NA,67,0,1,0.5,0.5,0,0.5,0
224,1,32,3,0,Forced choice (nw),1,NA,94,0,1,0.5,0.5,0,0.5,0
225,0,27,4,-1,Forced choice strong,1,NA,606,0,1,0.5,0.5,0,0.5,0
226,1,41,4,1,Forced choice strong,1,NA,703,1,0,0.5,0.5,8,8.5,0
227,1,59,3,-1,Base (nw),NA,NA,123,1,0,0.5,0.5,8,8.5,0
228,0,27,6,-2,Forced choice (w),1,NA,705,0,1,0.5,0.5,0,0.5,0
229,1,41,3,1,Nominal choice (w),NA,1,574,0,1,0.5,0.5,0,0.5,0
230,0,53,5,1,Base (w),NA,NA,1048,0,1,0.5,0.5,0,0.5,0
231,0,35,5,0,Nominal choice (w),NA,1,543,0,1,0.5,0.5,0,0.5,0
232,1,26,4,-1,Nominal choice (nw),NA,1,80,0,1,0.5,0.5,0,0.5,0
233,1,38,2,-2,Forced choice very strong,1,NA,626,1,0,0.5,0.5,8,8.5,0
234,0,63,6,-1,Forced choice (nw),1,NA,245,1,0,0.5,0.5,8,8.5,0
235,1,59,4,1,Forced choice strong,1,NA,629,1,0,0.5,0.5,8,8.5,0
236,0,33,6,-1,Forced choice very strong,0,NA,579,0,0,0.5,0.25,NA,0.25,0
237,1,29,4,1,Nominal choice (nw),NA,1,142,1,0,0.5,0.5,8,8.5,0
238,0,21,2,-2,Forced choice very strong,0,NA,716,0,0,0.5,0.25,NA,0.25,0
239,0,25,5,1,Forced choice (nw),1,NA,102,0,1,0.5,0.5,0,0.5,0
240,0,34,6,1,Nominal choice (w),NA,0,595,0,1,0.5,0.5,0,0.5,0
241,1,36,4,2,Forced choice very strong,1,NA,568,1,0,0.5,0.5,8,8.5,0
242,0,30,4,-1,Base (w),NA,NA,575,1,0,0.5,0.5,8,8.5,0
243,1,33,5,-2,Forced choice (nw),1,NA,136,0,1,0.5,0.5,0,0.5,0
244,1,29,4,-1,Nominal choice (nw),NA,0,200,0,1,0.5,0.5,0,0.5,0
245,0,30,5,-2,Forced choice (nw),1,NA,290,0,1,0.5,0.5,0,0.5,0
246,1,25,5,1,Forced choice strong,1,NA,713,1,0,0.5,0.5,8,8.5,0
247,0,27,3,-1,Base (w),NA,NA,669,0,1,0.5,0.5,0,0.5,0
248,0,26,5,2,Nominal choice (w),NA,1,560,1,0,0.5,0.5,8,8.5,0
249,1,28,3,-1,Base (nw),NA,NA,68,0,1,0.5,0.5,0,0.5,0
250,1,27,3,0,Forced choice very strong,0,NA,745,0,0,0.5,0.25,NA,0.25,0
251,0,71,4,0,Base (w),NA,NA,661,0,1,0.5,0.5,0,0.5,0
252,0,26,3,-2,Forced choice strong,1,NA,775,0,1,0.5,0.5,0,0.5,0
253,1,55,3,0,Forced choice strong,1,NA,660,0,1,0.5,0.5,0,0.5,0
254,1,29,3,0,Forced choice (nw),1,NA,184,0,1,0.5,0.5,0,0.5,0
255,0,43,4,1,Forced choice strong,1,NA,569,1,0,0.5,0.5,8,8.5,0
256,0,40,5,0,Nominal choice (w),NA,0,631,0,1,0.5,0.5,0,0.5,0
257,0,25,2,-1,Forced choice strong,1,NA,662,1,0,0.5,0.5,8,8.5,0
258,0,27,4,-1,Base (w),NA,NA,607,1,0,0.5,0.5,8,8.5,0
259,1,48,6,-2,Nominal choice (w),NA,1,739,1,0,0.5,0.5,8,8.5,0
260,0,42,3,1,Base (nw),NA,NA,114,0,1,0.5,0.5,0,0.5,0
261,0,35,3,1,Base (nw),NA,NA,69,0,1,0.5,0.5,0,0.5,0
262,1,48,3,-1,Base (nw),NA,NA,167,1,0,0.5,0.5,8,8.5,0
263,0,31,5,0,Base (w),NA,NA,652,0,1,0.5,0.5,0,0.5,0
264,1,46,6,-1,Forced choice (nw),0,NA,116,0,0,0.5,0.75,NA,0.75,0
265,1,38,5,0,Nominal choice (nw),NA,0,571,0,1,0.5,0.5,0,0.5,0
266,1,31,6,1,Forced choice (nw),1,NA,84,0,1,0.5,0.5,0,0.5,0
267,1,31,4,-1,Forced choice (w),1,NA,748,1,0,0.5,0.5,8,8.5,0
268,1,27,3,-2,Base (nw),NA,NA,151,0,1,0.5,0.5,0,0.5,0
269,1,33,4,-1,Forced choice (nw),1,NA,325,0,1,0.5,0.5,0,0.5,0
270,1,53,5,-1,Forced choice very strong,0,NA,771,0,0,0.5,0.25,NA,0.25,0
271,0,48,6,-2,Nominal choice (w),NA,1,640,0,1,0.5,0.5,0,0.5,0
272,0,29,5,-1,Base (nw),NA,NA,133,0,1,0.5,0.5,0,0.5,0
273,1,51,3,-2,Forced choice (w),1,NA,601,0,1,0.5,0.5,0,0.5,0
274,0,29,5,0,Forced choice strong,1,NA,613,0,1,0.5,0.5,0,0.5,0
275,0,31,5,2,Nominal choice (w),NA,0,777,1,0,0.5,0.5,8,8.5,0
276,0,29,6,2,Forced choice very strong,1,NA,657,1,0,0.5,0.5,8,8.5,0
277,1,27,5,1,Nominal choice (nw),NA,1,210,1,0,0.5,0.5,8,8.5,0
278,1,59,5,1,Base (nw),NA,NA,250,0,1,0.5,0.5,0,0.5,0
279,0,29,3,-1,Base (nw),NA,NA,48,1,0,0.5,0.5,8,8.5,0
280,1,24,6,-2,Nominal choice (nw),NA,1,147,0,1,0.5,0.5,0,0.5,0
281,0,52,2,2,Nominal choice (nw),NA,1,54,1,0,0.5,0.5,8,8.5,0
282,0,24,5,0,Forced choice (nw),1,NA,70,0,1,0.5,0.5,0,0.5,0
283,1,39,4,0,Nominal choice (w),NA,1,567,1,0,0.5,0.5,8,8.5,0
284,0,29,5,0,Forced choice strong,1,NA,537,0,1,0.5,0.5,0,0.5,1
285,0,43,5,2,Forced choice strong,1,NA,623,0,1,0.5,0.5,0,0.5,0
286,0,69,3,-1,Forced choice very strong,1,NA,742,0,1,0.5,0.5,0,0.5,0
287,0,41,3,-1,Base (w),NA,NA,569,0,1,0.5,0.5,0,0.5,0
288,0,39,3,-1,Base (nw),NA,NA,472,1,0,0.5,0.5,8,8.5,0
289,1,30,5,0,Forced choice very strong,1,NA,538,1,0,0.5,0.5,8,8.5,0
290,0,40,2,0,Forced choice (nw),1,NA,152,0,1,0.5,0.5,0,0.5,0
291,1,54,5,-1,Forced choice (nw),1,NA,129,1,0,0.5,0.5,8,8.5,0
292,0,33,5,-1,Forced choice very strong,1,NA,505,0,1,0.5,0.5,0,0.5,0
293,1,27,4,-1,Nominal choice (nw),NA,1,131,1,0,0.5,0.5,8,8.5,1
294,1,38,3,-1,Forced choice (nw),1,NA,183,0,1,0.5,0.5,0,0.5,0
295,0,31,3,-2,Forced choice very strong,1,NA,649,0,1,0.5,0.5,0,0.5,0
296,0,54,6,-1,Base (nw),NA,NA,129,1,0,0.5,0.5,8,8.5,0
297,0,36,5,-2,Base (nw),NA,NA,357,0,1,0.5,0.5,0,0.5,0
298,0,27,5,0,Nominal choice (nw),NA,1,66,1,0,0.5,0.5,8,8.5,0
299,1,35,5,2,Base (w),NA,NA,1095,1,0,0.5,0.5,8,8.5,0
300,0,34,5,-2,Forced choice very strong,0,NA,547,0,0,0.5,0.25,NA,0.25,0
301,0,41,5,-1,Forced choice (nw),1,NA,163,0,1,0.5,0.5,0,0.5,0
